GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
flight-service-api/flight-service-core,com.dt.exception,FlightException,7,0,0,0,3,0,2,0,2,0
flight-service-api/flight-service-core,com.dt.service,FlightService,26,0,0,0,6,0,5,0,5,0
flight-service-api/flight-service-core,com.dt.domain,Flight,84,0,0,0,11,0,16,0,16,0
flight-service-api/flight-service-core,com.dt.domain,Flight.FlightBuilder,63,0,0,0,1,0,9,0,9,0
