GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ticket-service-api/ticket-service-core,com.dt.exception,NoEntityFoundException,4,0,0,0,1,0,1,0,1,0
ticket-service-api/ticket-service-core,com.dt.exception,TicketException,4,0,0,0,2,0,1,0,1,0
ticket-service-api/ticket-service-core,com.dt.service,TicketService,73,0,6,0,18,0,7,0,4,0
